推荐日,推荐排名,推荐度,代码,名称,推荐日收盘,T+1涨跌%,T+2累计%,T+3累计%,T+4累计%,T+5累计%,5日最高涨幅%,5日最低涨幅%,5日结果,T+1开盘买入,买入价,交易结果,持有交易日,卖出价,净收益%,第一止盈%,第二止盈%,软止损%,硬止损%,首止盈卖出仓位%,首次止盈日,最终清仓日,最高浮盈%,最大浮亏%,交易备注,原T+5收盘%
2026-04-28,1,56.7,002638,勤上股份,4.56,-2.63,2.63,3.51,3.07,5.7,13.38,-3.29,完整5日,是,4.56,移动止盈退出,4,4.7,2.84,3.0,6.0,-3.0,-6.0,50.0,T+2,T+4,13.38,-3.29,2026-04-30达到第一止盈：卖出50%；2026-04-30触发软止损预警；2026-05-07从峰值回撤约3.5%后退出,5.7
2026-04-30,1,71.7,600743,华远控股,2.47,2.83,5.26,12.55,8.91,9.72,15.79,-1.62,完整5日,是,2.46,强势止盈/清仓,3,2.7,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,16.26,-1.22,2026-05-06盘中达到第一止盈，但T+1不可卖；2026-05-07达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,9.72
2026-05-06,1,71.9,600232,金鹰股份,8.65,0.58,1.27,4.62,0.69,2.43,5.78,-2.43,完整5日,是,8.63,移动止盈退出,4,8.71,1.76,3.0,6.0,-3.0,-6.0,50.0,T+3,T+4,6.03,-0.46,2026-05-11达到第一止盈：卖出50%；2026-05-12从峰值回撤约2.8%后退出,2.43
2026-05-06,2,71.2,605388,均瑶健康,7.19,-0.56,-0.14,-0.14,-2.64,-1.67,1.67,-3.34,完整5日,是,7.15,T+5收盘退出,5,7.07,-1.32,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.24,-2.8,5日内未触发关键退出信号,-1.67
2026-05-06,3,69.4,000727,冠捷科技,2.74,5.84,6.93,4.01,4.74,4.74,9.85,0.0,完整5日,是,2.75,强势止盈/清仓,2,2.92,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,9.45,-0.36,2026-05-07盘中达到第一止盈，但T+1不可卖；2026-05-08达到第一止盈：卖出50%；达到第二止盈,4.74
2026-05-08,1,70.7,002300,太阳电缆,9.86,-1.62,8.22,14.81,6.49,2.74,18.97,-3.65,完整5日,是,9.97,强势止盈/清仓,2,10.57,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,7.02,-4.71,2026-05-12达到第一止盈：卖出50%；达到第二止盈,2.74
2026-05-11,1,54.2,000989,九芝堂,9.69,-2.27,-2.99,-8.36,-9.29,-11.46,-0.21,-12.18,完整5日,是,9.66,结构止损退出,3,8.88,-8.27,3.0,6.0,-3.0,-6.0,50.0,,T+3,0.1,-8.28,2026-05-13触发软止损预警；2026-05-14触发软止损预警；2026-05-14收盘确认结构破坏,-11.46
2026-05-13,1,73.7,600103,青山纸业,5.04,-5.16,-8.33,-9.72,-9.13,-10.71,1.19,-13.1,完整5日,是,5.08,结构止损退出,2,4.62,-9.26,3.0,6.0,-3.0,-6.0,50.0,,T+2,0.39,-10.24,2026-05-15触发软止损预警；2026-05-15收盘确认结构破坏,-10.71
2026-05-26,1,43.1,000701,厦门信达,5.97,-3.69,0.5,-6.37,-4.19,-4.02,1.01,-8.54,完整5日,是,5.95,结构止损退出,3,5.59,-6.25,3.0,6.0,-3.0,-6.0,50.0,,T+3,1.34,-7.56,2026-05-28触发软止损预警；2026-05-29触发软止损预警；2026-05-29收盘确认结构破坏,-4.02
2026-06-01,1,68.3,600167,联美控股,6.92,0.0,-1.45,-3.18,-7.51,-12.57,0.29,-13.73,完整5日,是,6.91,结构止损退出,4,6.4,-7.58,3.0,6.0,-3.0,-6.0,50.0,,T+4,0.43,-8.68,2026-06-04触发软止损预警；2026-06-05触发软止损预警；2026-06-05收盘确认结构破坏,-12.57
2026-06-02,1,45.6,002678,珠江钢琴,6.09,-1.15,-1.15,2.63,0.49,-5.09,5.75,-7.39,完整5日,是,6.06,移动止盈退出,2,6.02,0.97,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,4.62,-3.47,2026-06-04达到第一止盈：卖出50%；2026-06-04从峰值回撤约2.2%后退出,-5.09
2026-06-04,1,66.6,002374,中锐股份,3.52,-2.56,-1.14,-5.4,-4.55,-9.09,4.55,-9.94,完整5日,是,3.55,移动止盈退出,2,3.48,0.31,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,3.66,-6.2,2026-06-08达到第一止盈：卖出50%；2026-06-08从峰值回撤约2.2%后退出,-9.09
2026-08-04,1,76.8,000518,四环生物,3.85,1.04,2.86,8.31,7.27,9.61,12.99,-2.6,完整5日,是,3.9,强势止盈/清仓,3,4.13,4.3,3.0,6.0,-3.0,-6.0,50.0,T+3,T+3,7.44,-1.79,2026-08-07达到第一止盈：卖出50%；达到第二止盈,9.61
2026-08-18,1,72.0,600339,中油工程,3.39,-1.18,-1.47,-0.29,0.0,0.59,1.47,-2.95,完整5日,是,3.37,T+5收盘退出,5,3.41,0.99,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.08,-2.37,5日内未触发关键退出信号,0.59
2026-08-21,1,71.1,000545,金浦钛业,2.53,-0.4,2.37,4.35,4.35,6.32,6.72,-2.37,完整5日,是,2.59,首止盈后T+5退出,5,2.69,3.23,3.0,6.0,-3.0,-6.0,50.0,T+5,T+5,4.25,-4.63,2026-08-25触发软止损预警；2026-08-28达到第一止盈：卖出50%,6.32
2026-08-21,2,64.1,002059,云南旅游,4.52,-1.55,0.44,1.55,1.77,3.54,3.98,-2.43,完整5日,是,4.48,首止盈后T+5退出,5,4.68,3.53,3.0,6.0,-3.0,-6.0,50.0,T+3,T+5,4.91,-1.56,2026-08-26达到第一止盈：卖出50%,3.54
2026-08-25,1,86.4,600654,中安科,2.97,1.01,11.11,22.22,13.13,17.51,22.22,-1.35,完整5日,是,2.95,强势止盈/清仓,2,3.24,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,11.86,-0.68,2026-08-27达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,17.51
2026-08-25,2,81.8,600844,金煤科技,3.72,-1.88,-2.42,2.42,5.38,10.48,15.86,-6.45,完整5日,是,3.56,强势止盈/清仓,3,3.77,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,7.58,-2.25,2026-08-26盘中达到第一止盈，但T+1不可卖；2026-08-27达到第一止盈：卖出50%；达到第二止盈,10.48
2026-08-25,3,72.5,000785,居然智家,2.29,0.0,-1.75,0.0,-0.44,1.75,3.06,-2.62,完整5日,是,2.27,移动止盈退出,4,2.28,1.52,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,3.52,-1.76,2026-08-31达到第一止盈：卖出50%；2026-08-31从峰值回撤约2.2%后退出,1.75
2026-08-26,1,89.7,000889,中嘉博创,4.02,0.5,0.0,0.0,1.24,1.24,2.24,-2.49,完整5日,是,4.02,T+5收盘退出,5,4.07,1.04,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.24,-2.49,5日内未触发关键退出信号,1.24
2026-08-26,2,86.0,000595,新能股份,5.95,-3.36,-3.7,-2.35,-3.53,-3.19,2.35,-7.39,完整5日,是,5.88,移动止盈退出,5,5.76,0.28,3.0,6.0,-3.0,-6.0,50.0,T+5,T+5,3.57,-6.29,2026-08-28触发软止损预警；2026-08-31触发软止损预警；2026-09-01触发软止损预警；2026-09-02达到第一止盈：卖出50%；2026-09-02从峰值回撤约2.2%后退出,-3.19
2026-08-26,3,79.4,000753,漳州发展,4.83,1.86,2.28,0.83,2.9,2.28,4.14,-1.24,完整5日,是,4.83,移动止盈退出,3,4.87,1.71,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,3.52,-1.24,2026-08-28达到第一止盈：卖出50%；2026-08-31从峰值回撤约2.2%后退出,2.28
2026-08-26,4,76.3,600865,百大集团,8.85,0.68,4.75,3.05,9.72,5.99,12.43,-0.79,完整5日,是,8.86,移动止盈退出,3,9.12,2.77,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,9.48,-0.9,2026-08-28达到第一止盈：卖出50%；2026-08-31从峰值回撤约3.5%后退出,5.99
2026-08-26,5,73.9,002029,七匹狼,8.77,-0.34,-0.68,3.53,6.16,5.02,9.24,-2.17,完整5日,是,8.75,移动止盈退出,3,9.08,3.19,3.0,6.0,-3.0,-6.0,50.0,T+3,T+3,9.49,-1.94,2026-08-31达到第一止盈：卖出50%；2026-08-31从峰值回撤约3.5%后退出,5.02
