推荐日,推荐排名,推荐度,代码,名称,推荐日收盘,T+1涨跌%,T+2累计%,T+3累计%,T+4累计%,T+5累计%,T+6累计%,5日最高涨幅%,5日最低涨幅%,6日最高涨幅%,6日最低涨幅%,首次≥3%,首次≥5%,首次≥8%,6日内涨停,6日涨停次数,6日内跌停,6日跌停次数,买入后6日最高涨幅%,买入后6日最低涨幅%,买入后首次≥8%,6日结果,T+1开盘买入,买入价,交易结果,持有交易日,卖出价,净收益%,第一止盈%,第二止盈%,软止损%,硬止损%,首止盈卖出仓位%,首次止盈日,最终清仓日,最高浮盈%,最大浮亏%,交易备注,原T+5收盘%
2025-07-10,1,45.7,603017,中衡设计,9.63,-0.62,-0.52,-2.8,-2.18,-1.77,-2.08,0.31,-3.63,0.31,-3.63,,,,否,0.0,否,0.0,0.1,-3.83,,完整6日,是,9.65,T+6收盘退出,5,9.46,-2.17,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.1,-3.83,2025-07-15触发软止损预警；2025-07-16触发软止损预警,-1.77
2025-07-10,2,41.2,600800,渤海化学,4.33,0.46,-1.62,-2.54,-1.62,-1.62,-1.39,1.62,-5.31,2.08,-5.31,,,,否,0.0,否,0.0,2.55,-4.87,,完整6日,是,4.31,T+6收盘退出,5,4.26,-1.36,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.09,-4.87,2025-07-14触发软止损预警；2025-07-15触发软止损预警；2025-07-16触发软止损预警,-1.62
2025-07-14,1,48.3,603839,安正时尚,7.21,-3.19,-1.11,-1.53,-1.53,0.14,-1.53,0.42,-4.58,0.42,-4.58,,,,否,0.0,否,0.0,1.97,-3.1,,完整6日,是,7.1,T+6收盘退出,5,7.22,1.49,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.97,-3.1,5日内未触发关键退出信号,0.14
2025-07-16,1,39.8,002235,安妮股份,9.64,-3.42,-6.54,-9.44,-11.41,-13.07,-12.66,2.18,-13.8,2.18,-13.8,,,,否,0.0,否,0.0,4.23,-12.06,,完整6日,是,9.45,结构止损退出,3,8.73,-7.82,3.0,6.0,-3.0,-6.0,50.0,,T+3,4.23,-8.04,2025-07-17盘中达到第一止盈，但T+1不可卖；2025-07-18触发软止损预警；2025-07-21触发软止损预警；2025-07-21收盘确认结构破坏,-13.07
2025-07-17,1,49.2,002565,顺灏股份,6.65,-1.05,4.21,-3.61,-4.51,-2.11,-0.45,5.41,-6.17,5.41,-6.17,T+2,T+3,,否,0.0,否,0.0,5.26,-6.31,,完整6日,是,6.66,移动止盈退出,3,6.41,-0.58,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,5.26,-6.31,2025-07-21达到第一止盈：卖出50%；2025-07-22从峰值回撤约2.8%后退出,-2.11
2025-07-17,2,43.0,605388,均瑶健康,8.08,-0.74,0.0,-1.24,-2.48,-1.24,-2.48,0.25,-2.85,0.25,-2.85,,,,否,0.0,否,0.0,0.12,-2.97,,完整6日,是,8.09,T+6收盘退出,5,7.98,-1.56,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.12,-2.97,5日内未触发关键退出信号,-1.24
2025-07-18,1,62.0,600110,诺德股份,5.77,-2.43,0.0,-2.77,-0.69,-2.6,3.12,1.56,-3.81,3.99,-3.81,T+6,,,否,0.0,否,0.0,6.19,-1.77,,完整6日,是,5.65,移动止盈退出,3,5.61,0.95,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,3.72,-1.77,2025-07-22达到第一止盈：卖出50%；2025-07-23从峰值回撤约2.2%后退出,-2.6
2025-07-18,2,57.5,002427,尤夫股份,8.21,-0.37,-2.56,-4.51,-4.51,-6.46,-4.87,-0.12,-6.82,-0.12,-6.94,,,,否,0.0,否,0.0,0.24,-6.6,,完整6日,是,8.18,结构止损退出,5,7.68,-6.31,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.24,-6.48,2025-07-22触发软止损预警；2025-07-23触发软止损预警；2025-07-24触发软止损预警；2025-07-25触发软止损预警；2025-07-25收盘确认结构破坏,-6.46
2025-07-18,3,51.5,002490,山东墨龙,5.55,0.9,-0.9,-1.44,-0.36,-1.26,1.26,1.44,-1.98,2.52,-1.98,,,,否,0.0,否,0.0,2.52,-1.98,,完整6日,是,5.55,T+6收盘退出,5,5.48,-1.46,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.44,-1.98,5日内未触发关键退出信号,-1.26
2025-07-18,4,43.8,600551,时代出版,8.93,1.46,0.67,1.34,1.9,2.46,8.62,5.04,-0.67,9.41,-0.67,T+3,T+5,T+6,否,0.0,否,0.0,9.41,-0.67,T+6,完整6日,是,8.93,移动止盈退出,3,9.05,1.97,3.0,6.0,-3.0,-6.0,50.0,T+3,T+3,3.92,-0.67,2025-07-23达到第一止盈：卖出50%；2025-07-23从峰值回撤约2.2%后退出,2.46
