推荐日,推荐排名,极度推荐排名,极度推荐分,涨停基因分,推荐度,代码,名称,推荐日收盘,T+1涨跌%,T+2累计%,T+3累计%,T+4累计%,T+5累计%,T+6累计%,5日最高涨幅%,5日最低涨幅%,6日最高涨幅%,6日最低涨幅%,首次≥3%,首次≥5%,首次≥8%,6日内涨停,6日涨停次数,6日内跌停,6日跌停次数,买入后6日最高涨幅%,买入后6日最低涨幅%,买入后首次≥8%,6日结果,T+1开盘买入,买入价,交易结果,持有交易日,卖出价,净收益%,第一止盈%,第二止盈%,软止损%,硬止损%,首止盈卖出仓位%,首次止盈日,最终清仓日,最高浮盈%,最大浮亏%,交易备注,原T+5收盘%
2025-07-21,1,1,87.1,44.5,58.4,600551,时代出版,9.06,-0.77,-0.11,0.44,0.99,7.06,12.8,7.84,-1.88,17.77,-1.88,T+4,T+5,T+6,否,0,否,0,18.56,-1.22,T+5,完整6日,是,9.0,移动止盈退出,2,9.05,1.58,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,3.11,-1.22,2025-07-23达到第一止盈：卖出50%；2025-07-23从峰值回撤约2.2%后退出,7.06
2025-07-22,1,1,84.7,67.3,82.2,002278,神开股份,9.46,-3.38,-2.85,-3.38,6.24,2.11,6.98,6.24,-4.55,11.73,-4.55,T+4,T+4,T+6,是,1,否,0,11.26,-4.95,T+6,完整6日,是,9.5,移动止盈退出,5,9.66,2.14,3.0,6.0,-3.0,-6.0,50.0,T+4,T+5,5.79,-4.95,2025-07-24触发软止损预警；2025-07-25触发软止损预警；2025-07-28达到第一止盈：卖出50%；2025-07-29从峰值回撤约2.8%后退出,2.11
2025-07-28,1,1,87.7,70.8,68.9,000892,欢瑞世纪,5.01,-3.19,-1.2,-5.19,-6.39,-7.58,-7.39,0.0,-9.58,0.0,-9.58,,,,否,0,否,0,1.83,-7.93,,完整6日,是,4.92,T+6收盘退出,5,4.63,-6.09,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.83,-7.93,2025-07-31触发软止损预警；2025-08-01触发软止损预警；2025-08-04触发软止损预警,-7.58
2025-07-30,1,1,79.3,65.0,51.4,002295,精艺股份,9.95,-0.6,5.13,13.47,14.07,14.47,13.47,15.38,-1.61,15.98,-1.61,T+1,T+2,T+3,否,0,否,0,17.16,-0.61,T+2,完整6日,是,9.85,强势止盈/清仓,2,10.44,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,8.83,-0.61,2025-07-31盘中达到第一止盈，但T+1不可卖；2025-08-01达到第一止盈：卖出50%；达到第二止盈,14.47
2025-08-05,1,1,79.4,64.0,55.8,601218,吉鑫科技,4.26,-0.7,-0.47,1.17,1.88,0.7,0.94,2.82,-1.41,2.82,-1.41,,,,否,0,否,0,2.82,-1.41,,完整6日,是,4.26,T+6收盘退出,5,4.29,0.5,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.82,-1.41,5日内未触发关键退出信号,0.7
2025-08-06,1,1,83.1,61.4,58.0,002342,巨力索具,7.45,-2.68,0.81,0.27,-1.07,1.21,11.28,5.77,-3.36,11.28,-3.36,T+2,T+2,T+6,是,1,否,0,11.28,-3.36,T+6,完整6日,是,7.45,移动止盈退出,2,7.51,1.7,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,5.77,-3.36,2025-08-08达到第一止盈：卖出50%；2025-08-08从峰值回撤约2.8%后退出,1.21
2025-08-07,1,1,77.8,81.9,69.6,600281,华阳新材,7.07,-2.69,-3.11,-4.24,-3.96,-5.52,-5.37,-0.14,-5.66,-0.14,-6.36,,,,否,0,否,0,0.0,-6.23,,完整6日,是,7.06,T+6收盘退出,5,6.68,-5.58,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.0,-5.52,2025-08-11触发软止损预警；2025-08-12触发软止损预警；2025-08-13触发软止损预警；2025-08-14触发软止损预警,-5.52
2025-08-08,1,1,77.7,71.1,54.1,000965,天保基建,4.21,6.65,11.88,10.69,6.18,6.18,7.36,15.91,0.24,15.91,0.24,T+1,T+1,T+1,否,0,否,0,14.82,-0.71,T+1,完整6日,是,4.25,强势止盈/清仓,2,4.67,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,14.82,-0.71,2025-08-11盘中达到第一止盈，但T+1不可卖；2025-08-12达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,6.18
2025-08-08,2,2,77.2,77.0,53.8,603086,先达股份,9.68,0.72,0.0,0.21,0.72,3.31,5.37,3.93,-1.55,5.79,-1.55,T+4,T+6,,否,0,否,0,5.79,-1.55,,完整6日,是,9.68,移动止盈退出,4,9.75,1.66,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,3.93,-1.55,2025-08-14达到第一止盈：卖出50%；2025-08-14从峰值回撤约2.2%后退出,3.31
2025-08-11,1,1,80.6,63.7,84.7,601279,英利汽车,4.18,0.0,0.96,-1.91,0.24,0.72,3.11,1.44,-2.63,3.83,-2.63,T+6,,,否,0,否,0,4.08,-2.4,,完整6日,是,4.17,T+6收盘退出,5,4.21,0.76,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.68,-2.4,5日内未触发关键退出信号,0.72
