推荐日,推荐排名,极度推荐排名,极度推荐分,涨停基因分,推荐度,代码,名称,推荐日收盘,T+1单日涨幅%,T+1累计涨幅%,T+2单日涨幅%,T+2累计涨幅%,T+3单日涨幅%,T+3累计涨幅%,T+4单日涨幅%,T+4累计涨幅%,T+5单日涨幅%,T+5累计涨幅%,T+6单日涨幅%,T+6累计涨幅%,累计校验最大差异%,5日最高涨幅%,5日最低涨幅%,6日最高涨幅%,6日最低涨幅%,首次≥3%,首次≥5%,首次≥8%,6日内涨停,6日涨停次数,6日内跌停,6日跌停次数,买入后6日最高涨幅%,买入后6日最低涨幅%,买入后首次≥8%,6日结果,T+1开盘买入,买入价,交易结果,持有交易日,卖出价,净收益%,第一止盈%,第二止盈%,软止损%,硬止损%,首止盈卖出仓位%,首次止盈日,最终清仓日,最高浮盈%,最大浮亏%,交易备注,原T+5收盘%
2026-08-05,1,1,77.5,44.6,51.4,605377,华旺科技,9.05,0.77,0.77,-0.99,-0.22,4.1,3.87,-4.15,-0.44,1.11,0.66,0.44,1.1,0.0,4.75,-1.88,4.75,-1.88,T+3,,,否,0,否,0,4.75,-1.88,,完整6日,是,9.05,移动止盈退出,4,9.01,1.08,3.0,6.0,-3.0,-6.0,50.0,T+3,T+4,4.75,-1.77,2026-08-10达到第一止盈：卖出50%；2026-08-11从峰值回撤约2.2%后退出,
2026-08-21,1,1,68.2,42.0,41.4,000617,中油资本,6.98,2.44,2.44,4.2,6.73,-1.34,5.3,1.9,7.31,-1.2,6.02,-1.35,4.58,0.0,11.75,-1.15,11.75,-1.15,T+1,T+2,T+2,否,0,否,0,12.88,-0.14,T+2,完整6日,是,6.91,移动止盈退出,2,7.45,5.21,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,12.88,-0.14,2026-08-24盘中达到第一止盈，但T+1不可卖；2026-08-25达到第一止盈：卖出50%；2026-08-25从峰值回撤约3.5%后退出,
2026-08-25,1,1,68.7,39.9,56.6,600170,上海建工,2.28,0.88,0.88,-1.3,-0.44,0.88,0.44,-0.87,-0.44,0.44,0.0,-0.88,-0.88,0.0,3.07,-1.75,3.07,-1.75,T+4,,,否,0,否,0,3.07,-1.75,,完整6日,是,2.28,移动止盈退出,4,2.27,1.08,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,3.07,-1.75,2026-08-31达到第一止盈：卖出50%；2026-08-31从峰值回撤约2.2%后退出,
2026-08-27,1,1,79.3,67.8,55.2,600236,桂冠电力,9.92,-0.2,-0.2,-0.61,-0.81,0.41,-0.4,3.14,2.72,-1.47,1.21,-1.59,-0.4,0.0,4.23,-2.22,4.23,-2.22,T+4,,,否,0,否,0,4.23,-2.22,,完整6日,是,9.92,移动止盈退出,5,10.04,1.9,3.0,6.0,-3.0,-6.0,50.0,T+4,T+5,4.23,-2.22,2026-09-02达到第一止盈：卖出50%；2026-09-03从峰值回撤约2.2%后退出,
2026-08-28,1,1,75.3,46.1,76.7,000990,诚志股份,6.68,0.45,0.45,1.79,2.25,-2.05,0.15,-1.05,-0.9,-2.27,-3.14,0.93,-2.25,0.0,3.74,-3.89,3.74,-3.89,T+2,,,否,0,否,0,4.05,-3.6,,完整6日,是,6.66,移动止盈退出,3,6.69,1.53,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,4.05,-1.95,2026-09-01达到第一止盈：卖出50%；2026-09-02从峰值回撤约2.2%后退出,
2026-08-31,1,1,79.4,75.4,77.5,600617,国新能源,3.44,1.16,1.16,-0.57,0.58,-3.76,-3.2,0.9,-2.33,-0.89,-3.2,5.71,2.33,0.0,3.2,-4.36,3.2,-4.36,T+1,,,否,0,否,0,3.8,-3.8,,完整6日,是,3.42,移动止盈退出,2,3.46,1.88,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,3.8,-0.29,2026-09-01盘中达到第一止盈，但T+1不可卖；2026-09-02达到第一止盈：卖出50%；2026-09-02从峰值回撤约2.2%后退出,
2026-09-04,1,1,64.0,57.2,52.2,000537,绿发电力,7.48,0.13,0.13,1.6,1.74,1.31,3.07,4.15,7.35,-2.86,4.28,0.0,4.28,0.0,8.56,-0.27,8.56,-0.27,T+3,T+4,T+4,否,0,否,0,8.85,0.0,T+4,完整6日,是,7.46,强势止盈/清仓,4,7.91,4.3,3.0,6.0,-3.0,-6.0,50.0,T+3,T+4,8.85,0.0,2026-09-09达到第一止盈：卖出50%；达到第二止盈,
2026-09-18,1,1,77.8,62.6,49.8,000908,石药景峰,6.12,1.31,1.31,-1.61,-0.33,-1.31,-1.63,,,,,,,0.0,2.45,-1.96,2.45,-1.96,,,,否,0,否,0,2.45,-1.96,,仅有3个后续交易日,是,6.12,T+6收盘退出,3,6.02,-1.83,3.0,6.0,-3.0,-6.0,50.0,,T+3,2.45,-1.96,5日内未触发关键退出信号,
2026-09-18,2,2,76.3,48.0,68.5,000718,苏宁环球,2.01,3.48,3.48,-0.48,2.99,0.0,2.99,,,,,,,0.0,5.97,-1.99,5.97,-1.99,T+1,T+3,,否,0,否,0,5.45,-2.48,,仅有3个后续交易日,是,2.02,移动止盈退出,3,2.07,2.54,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,5.45,-2.48,2026-09-21盘中达到第一止盈，但T+1不可卖；2026-09-22达到第一止盈：卖出50%；2026-09-23从峰值回撤约2.8%后退出,
2026-09-18,3,3,74.9,59.9,63.6,600604,市北高新,4.61,3.47,3.47,3.56,7.16,0.61,7.81,,,,,,,0.0,10.85,-1.3,10.85,-1.3,T+1,T+2,T+3,否,0,否,0,11.33,-0.87,T+2,仅有3个后续交易日,是,4.59,强势止盈/清仓,2,4.87,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,8.06,-0.87,2026-09-21盘中达到第一止盈，但T+1不可卖；2026-09-22达到第一止盈：卖出50%；达到第二止盈,
