推荐日,排名,代码,名称,T+1开盘,T+1最高,T+1最低,T+1收盘,T+1当日涨跌%,T+1买入后涨跌%,T+1累计%,T+2开盘,T+2最高,T+2最低,T+2收盘,T+2当日涨跌%,T+2买入后涨跌%,T+2累计%,T+3开盘,T+3最高,T+3最低,T+3收盘,T+3当日涨跌%,T+3买入后涨跌%,T+3累计%,T+4开盘,T+4最高,T+4最低,T+4收盘,T+4当日涨跌%,T+4买入后涨跌%,T+4累计%,T+5开盘,T+5最高,T+5最低,T+5收盘,T+5当日涨跌%,T+5买入后涨跌%,T+5累计%,T+6开盘,T+6最高,T+6最低,T+6收盘,T+6当日涨跌%,T+6买入后涨跌%,T+6累计%,推荐日收盘,MFE6%,MAE6%,首次≥3%,首次≥5%,首次≥8%,首次≥10%,首次≥15%,路径完整度,推荐排名,旧固定净收益%,趋势跟随净收益%,T+6持有净收益%,旧模型退出,趋势模型退出,交易备注
2026-08-26,1,600192,长城电工,7.11,7.21,7.0,7.13,0.28,0.28,0.28,7.12,7.18,7.07,7.12,-0.14,0.14,0.14,7.07,7.1,6.94,7.06,-0.84,-0.7,-0.7,7.05,7.25,7.03,7.18,1.7,0.98,0.98,7.12,7.47,7.1,7.37,2.65,3.66,3.66,7.37,7.38,7.2,7.22,-2.04,1.55,1.55,7.11,5.06,-2.39,T+5,T+5,,,,完整T+6,1,2.8,1.35,1.35,T+6收盘,T+6收盘,旧:2026-09-02TP1卖50%；2026-09-03TP1卖50%｜趋势:
2026-08-26,2,000595,新能股份,5.88,5.88,5.68,5.75,-3.36,-2.21,-2.21,5.75,5.95,5.66,5.73,-0.35,-2.55,-2.55,5.63,5.92,5.51,5.81,1.4,-1.19,-1.19,5.79,5.85,5.69,5.74,-1.2,-2.38,-2.38,5.7,6.09,5.66,5.76,0.35,-2.04,-2.04,5.66,5.88,5.62,5.66,-1.74,-3.74,-3.74,5.95,3.57,-6.29,T+5,,,,,完整T+6,2,-0.57,-3.94,-3.94,T+6收盘,T+6收盘,旧:2026-09-02TP1卖50%｜趋势:
2026-08-26,3,600676,久事动娱,6.8,6.88,6.75,6.8,0.29,0.0,0.0,6.81,6.88,6.76,6.77,-0.44,-0.44,-0.44,6.75,6.87,6.72,6.81,0.59,0.15,0.15,6.78,6.93,6.77,6.91,1.47,1.62,1.62,6.89,6.9,6.67,6.71,-2.89,-1.32,-1.32,6.75,7.1,6.72,6.78,1.04,-0.29,-0.29,6.78,4.41,-1.91,T+6,,,,,完整T+6,3,1.15,-0.49,-0.49,T+6收盘,T+6收盘,旧:2026-09-03TP1卖50%｜趋势:
2026-08-26,4,002607,中公教育,2.1,2.11,2.06,2.1,0.96,0.0,0.0,2.1,2.12,2.08,2.1,0.0,0.0,0.0,2.09,2.09,2.05,2.09,-0.48,-0.48,-0.48,2.08,2.14,2.07,2.13,1.91,1.43,1.43,2.12,2.12,2.07,2.08,-2.35,-0.95,-0.95,2.09,2.11,2.01,2.02,-2.88,-3.81,-3.81,2.08,1.9,-4.29,,,,,,完整T+6,4,-4.01,-4.01,-4.01,T+6收盘,T+6收盘,旧:｜趋势:
2026-08-27,1,002197,证通电子,7.03,7.05,6.85,6.86,-2.14,-2.42,-2.42,6.79,6.99,6.7,6.98,1.75,-0.71,-0.71,6.98,7.16,6.88,7.07,1.29,0.57,0.57,7.0,7.11,6.92,7.07,0.0,0.57,0.57,7.09,7.17,7.0,7.04,-0.42,0.14,0.14,7.16,7.34,7.05,7.07,0.43,0.57,0.57,7.01,4.41,-4.69,T+6,,,,,完整T+6,1,1.58,0.37,0.37,T+6收盘,T+6收盘,旧:2026-09-04TP1卖50%｜趋势:
2026-08-27,2,603980,吉华集团,6.93,7.18,6.8,7.1,4.11,2.45,2.45,7.09,7.35,6.93,7.2,1.41,3.9,3.9,7.66,7.92,7.6,7.92,10.0,14.29,14.29,7.99,8.15,7.29,7.31,-7.7,5.48,5.48,7.31,7.76,6.91,7.69,5.2,10.97,10.97,7.73,8.41,7.46,7.94,3.25,14.57,14.57,6.82,21.36,-1.88,T+1,T+2,T+3,T+3,T+4,完整T+6,2,4.3,5.28,14.37,旧固定TP2,趋势跟随峰值回撤,旧:2026-08-31TP1卖50%｜趋势:峰值回撤2.5%
2026-08-27,3,000037,深南电A,9.81,9.92,9.65,9.84,-0.1,0.31,0.31,9.73,9.78,9.53,9.65,-1.93,-1.63,-1.63,9.63,9.74,9.62,9.65,0.0,-1.63,-1.63,9.62,9.62,9.34,9.34,-3.21,-4.79,-4.79,9.38,9.4,9.26,9.28,-0.64,-5.4,-5.4,9.33,9.47,9.28,9.33,0.54,-4.89,-4.89,9.85,1.12,-5.61,,,,,,完整T+6,3,-5.09,-5.09,-5.09,T+6收盘,T+6收盘,旧:｜趋势:
2026-08-27,4,601933,永辉超市,3.12,3.16,3.09,3.15,0.64,0.96,0.96,3.15,3.16,3.06,3.09,-1.9,-0.96,-0.96,3.1,3.4,3.09,3.28,6.15,5.13,5.13,3.28,3.34,3.17,3.18,-3.05,1.92,1.92,3.2,3.23,3.14,3.15,-0.94,0.96,0.96,3.13,3.21,3.08,3.16,0.32,1.28,1.28,3.13,8.97,-1.92,T+3,T+3,T+3,,,完整T+6,4,4.3,4.93,1.08,旧固定TP2,趋势跟随峰值回撤,旧:2026-09-01TP1卖50%｜趋势:峰值回撤2.5%
2026-08-27,5,600986,浙文互联,7.29,7.33,7.13,7.15,-0.83,-1.92,-1.92,7.04,7.46,7.0,7.46,4.34,2.33,2.33,7.46,7.99,7.42,7.78,4.29,6.72,6.72,7.62,7.76,7.52,7.53,-3.21,3.29,3.29,7.54,7.7,7.34,7.36,-2.26,0.96,0.96,7.44,7.83,7.4,7.56,2.72,3.7,3.7,7.21,9.6,-3.98,T+3,T+3,T+3,,,完整T+6,5,4.3,3.09,3.5,旧固定TP2,趋势跟随峰值回撤,旧:2026-09-01TP1卖50%｜趋势:峰值回撤2.5%
2026-08-28,1,600617,国新能源,3.45,3.48,3.4,3.44,-0.58,-0.29,-0.29,3.42,3.55,3.42,3.48,1.16,0.87,0.87,3.51,3.55,3.41,3.46,-0.57,0.29,0.29,3.46,3.48,3.33,3.33,-3.76,-3.48,-3.48,3.36,3.4,3.31,3.36,0.9,-2.61,-2.61,3.39,3.4,3.29,3.33,-0.89,-3.48,-3.48,3.46,2.9,-4.64,,,,,,完整T+6,1,-3.68,-3.68,-3.68,T+6收盘,T+6收盘,旧:｜趋势:
