排名,代码,名称,所属行业,主题标签,流通市值(亿),参考总市值(亿),市值状态,市值数据源,市值快照日期,筹码结构,启动评分,启动判断,极度推荐分,极度推荐理由,涨停基因分,涨停基因状态,涨停基因说明,动能协同,推荐度,基础策略分,市场评分,市场状态,相对强度,相对大盘1日%,相对大盘5日%,相对大盘20日%,严格匹配度,严格评级,关注理由,最新价,今日涨跌%,今日状态,收盘交易状态,激进买点,保守买点,激进止损,保守止损,激进止盈,保守止盈,激进周期,保守周期,计划依据,T+1开盘应对,MA5,MA10,MA20,MA60,20日平台高,20日低点,ATR14,DIF,DEA,MACD柱,MACD零轴,RSI14,RSI状态,K值,D值,J值,KDJ状态,近一年涨停次数,量比,5/20量比,20日涨幅%,近10日最大涨幅%,成交额(万),极度推荐,极度推荐排名
1,600637,东方明珠,暂无同日行业数据,未分类,,,未取得市值,,,72/100｜筹码结构较好,80.1,近期缩量充分；短均线开始抬头；死叉距连续两天改善；RSI回升；推荐日上涨偏快,66.2,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中62%；偏强上涨｜谨防追高；前期缩量结构较好,46.6,一般涨停基因,250日涨停8次；距最近涨停83日；历史涨停后3日≥3%命中62%；历史涨停后3日≥5%命中62%,RSI 偏强｜KDJ 多头｜MACD 趋强,84.3,77.4,61.9,震荡偏强，精选个股,58.5,2.13,2.08,8.54,93.4,强匹配,当前仍站在20日线之上，20日线相对60日线高约3.9%，但短线均线结构还不算特别强。近20日上涨约8.6%，近5日约1.9%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.72，前期有明显缩量，而当前量比约1.77，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.8%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。,8.67,2.85,偏强上涨｜谨防追高,接近阶段平台高点，重点观察放量突破是否成立,8.48~8.55（承接/回踩）,8.87~8.91（突破确认）,8.29,8.71,8.84 / 8.98,9.12 / 9.28,若突破成立，最早T+1观察，通常约4个交易日评估一次,等待突破确认后，最早T+1观察，预计3~5个交易日,价格距离20日平台高点约2.0%，已经进入突破敏感区，因此保守方案要求价格站稳平台上方，而不是提前猜突破。5/20成交量比约0.72，说明前期有较明显的量能收缩。今日量比约1.77，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.008。,明显高开：不追高，优先等待回踩参考买入区并确认承接,8.43,8.52,8.45,8.13,8.84,7.97,0.209,0.079,0.087,-0.016,上方,60.36,偏强,45.54,40.72,55.18,多头,8,1.77,0.72,8.65,2.85,39678.25,,
2,000536,华映科技,暂无同日行业数据,未分类,,,未取得市值,,,68/100｜筹码结构较好,70.1,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日上涨偏快,73.3,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中73%；偏强上涨｜谨防追高；前期缩量结构较好,69.9,中强涨停基因,250日涨停11次；近60日4次；距最近涨停13日；历史涨停后3日≥3%命中73%；历史涨停后3日≥5%命中64%,RSI 中性｜KDJ 多头｜MACD 趋强,75.7,69.7,61.9,震荡偏强，精选个股,59.6,2.52,2.54,8.9,90.2,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约9.0%，近5日约2.3%，上涨速度相对温和，没有明显进入加速末端。近期5/20成交量比约0.58，量能处于收缩状态，但当前量比约1.94，启动力度还需要继续观察。过去250个交易日有11次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。,3.51,3.24,偏强上涨｜谨防追高,结构偏弱，不建议因为低价或历史涨停次数单独介入,3.48~3.50（承接/回踩）,3.97~4.00（突破确认）,3.41,3.87,3.96 / 3.96,4.14 / 4.25,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.58，说明前期有较明显的量能收缩。今日量比约1.94，放量程度需要继续观察。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.027。,明显高开：不追高，优先等待回踩参考买入区并确认承接,3.41,3.49,3.52,3.36,3.96,3.11,0.141,0.017,0.044,-0.054,上方,52.6,中性,29.42,24.37,39.52,多头,11,1.94,0.58,9.01,3.24,27589.28,,
3,600376,首开股份,暂无同日行业数据,未分类,,,未取得市值,,,60/100｜筹码结构较好,78.1,近期缩量充分；死叉距连续两天改善；RSI回升,82.0,死叉修复｜强；强涨停基因；历史涨停后3日≥3%命中91%；温和上涨；前期缩量结构较好；当前量能温和放大,85.9,强涨停基因,250日涨停23次；近60日4次；距最近涨停27日；历史涨停后3日≥3%命中91%；历史涨停后3日≥5%命中78%,RSI 中性｜KDJ 多头｜MACD 趋强,73.5,61.2,61.9,震荡偏强，精选个股,47.1,1.54,-0.11,-10.3,91.5,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-10.2%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.62，前期有明显缩量，而当前量比约1.40，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有23次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.3%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,3.17,2.26,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,3.25~3.25（承接/回踩）,3.75~3.77（突破确认）,3.21,3.69,3.74 / 3.74,3.86 / 3.93,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.62，说明前期有较明显的量能收缩。今日量比约1.40，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.010。,明显高开：不追高，优先等待回踩参考买入区并确认承接,3.12,3.2,3.28,3.55,3.74,3.05,0.088,-0.151,-0.141,-0.02,下方,39.72,中性,18.89,13.34,29.99,多头,23,1.4,0.62,-10.2,2.26,15147.34,TOP5,3
4,002131,利欧股份,暂无同日行业数据,未分类,,,未取得市值,,,61/100｜筹码结构较好,84.1,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日未明显追涨,77.8,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中100%；温和上涨；当前量能温和放大,71.8,中强涨停基因,250日涨停11次；近60日2次；距最近涨停34日；历史涨停后3日≥3%命中100%；历史涨停后3日≥5%命中73%,RSI 中性｜KDJ 多头｜MACD 趋强,73.2,57.9,61.9,震荡偏强，精选个股,51.1,0.63,1.1,-1.64,89.4,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-1.5%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.52，前期有明显缩量，而当前量比约1.24，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有11次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,4.5,1.35,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,4.53~4.53（承接/回踩）,5.23~5.27（突破确认）,4.44,5.08,5.21 / 5.21,5.47 / 5.63,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.52，说明前期有较明显的量能收缩。今日量比约1.24，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.025。,明显高开：不追高，优先等待回踩参考买入区并确认承接,4.44,4.54,4.61,4.61,5.21,4.3,0.201,-0.098,-0.073,-0.049,下方,44.43,中性,24.3,21.3,30.3,多头,11,1.24,0.52,-1.53,1.35,108074.01,,
5,002905,金逸影视,暂无同日行业数据,未分类,,,未取得市值,,,69/100｜筹码结构较好,80.8,近期缩量充分；死叉距开始改善；RSI回升,61.0,死叉修复｜中；偏弱涨停基因；历史涨停后3日≥3%命中57%；温和上涨；前期缩量结构较好；当前量能温和放大,36.3,偏弱涨停基因,250日涨停7次；距最近涨停147日；历史涨停后3日≥3%命中57%；历史涨停后3日≥5%命中57%,RSI 偏强｜KDJ 空头｜MACD 中性,73.1,63.1,61.9,震荡偏强，精选个股,55.7,0.83,0.09,10.35,87.3,强匹配,当前仍站在20日线之上，20日线相对60日线高约8.6%，但短线均线结构还不算特别强。近20日上涨约10.5%，近5日约-0.1%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.59，前期有明显缩量，而当前量比约1.08，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.7%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于上方区域。,8.56,1.54,温和上涨,中期趋势仍在，但短线位置一般，更适合等待回踩确认,8.57~8.60（承接/回踩）,9.53~9.60（突破确认）,8.19,9.25,9.50 / 9.50,9.98 / 10.28,回踩企稳后最早T+1观察；按ATR与目标空间预计4~6个交易日,确认后最早T+1观察；按当前波动率预计3~6个交易日,当前结构属于“趋势回踩”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.59，说明前期有较明显的量能收缩。今日量比约1.08，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,8.39,8.62,8.37,7.7,9.5,7.62,0.374,0.195,0.235,-0.081,上方,56.67,偏强,30.71,36.27,19.59,空头,7,1.08,0.59,10.45,4.73,5428.23,,
6,000566,海南海药,暂无同日行业数据,未分类,,,未取得市值,,,60/100｜筹码结构较好,93.1,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日未明显追涨,85.0,死叉修复｜强；强涨停基因；历史涨停后3日≥3%命中85%；低位震荡/轻微回落；前期缩量结构较好；当前量能温和放大,85.5,强涨停基因,250日涨停20次；近60日11次；距最近涨停18日；历史涨停后3日≥3%命中85%；历史涨停后3日≥5%命中75%,RSI 中性｜KDJ 多头｜MACD 趋强,72.9,57.5,61.9,震荡偏强，精选个股,46.2,-0.28,-1.29,-4.86,98.5,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-4.8%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.58，前期有明显缩量，而当前量比约1.18，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有20次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,4.61,0.44,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,4.78~4.78（承接/回踩）,5.22~5.25（突破确认）,4.71,5.10,5.20 / 5.20,5.40 / 5.52,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.58，说明前期有较明显的量能收缩。今日量比约1.18，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.023。,明显高开：不追高，优先等待回踩参考买入区并确认承接,4.6,4.72,4.83,5.23,5.2,4.45,0.151,-0.175,-0.152,-0.046,下方,39.59,中性,22.14,22.11,22.2,多头,20,1.18,0.58,-4.75,1.42,22636.4,TOP5,1
7,002083,孚日股份,暂无同日行业数据,未分类,,,未取得市值,,,56/100｜筹码结构中性,87.1,近期缩量充分；死叉距连续两天改善；推荐日未明显追涨,84.5,死叉修复｜强；强涨停基因；历史涨停后3日≥3%命中81%；低位震荡/轻微回落；前期缩量结构较好；当前量能温和放大,83.6,强涨停基因,250日涨停21次；近60日3次；距最近涨停37日；历史涨停后3日≥3%命中81%；历史涨停后3日≥5%命中71%,RSI 中性｜KDJ 多头｜MACD 趋强,69.7,55.9,61.9,震荡偏强，精选个股,47.6,-1.13,2.3,-7.51,95.3,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-7.4%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.78，前期有明显缩量，而当前量比约1.35，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有21次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.3%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,9.75,-0.41,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,9.96~9.96（承接/回踩）,11.01~11.07（突破确认）,9.83,10.80,10.98 / 10.98,11.35 / 11.57,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.78，说明前期有较明显的量能收缩。今日量比约1.35，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.012。,明显高开：不追高，优先等待回踩参考买入区并确认承接,9.72,9.78,10.05,10.51,10.98,9.39,0.279,-0.299,-0.288,-0.023,下方,41.0,中性,45.32,33.47,69.03,多头,21,1.35,0.78,-7.41,3.34,25818.01,TOP5,2
8,605268,王力安防,暂无同日行业数据,未分类,,,未取得市值,,,70/100｜筹码结构较好,100.0,近期缩量充分；处于平台下方可观察区；死叉距连续两天改善；RSI回升；推荐日未明显追涨,75.3,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中86%；温和上涨；前期缩量结构较好；当前量能温和放大,54.8,一般涨停基因,250日涨停7次；近60日1次；距最近涨停23日；历史涨停后3日≥3%命中86%；历史涨停后3日≥5%命中86%,RSI 中性｜KDJ 多头｜MACD 趋强,69.0,51.1,61.9,震荡偏强，精选个股,54.8,0.76,2.11,4.0,95.0,强匹配,当前仍站在20日线之上，20日线相对60日线高约3.6%，但短线均线结构还不算特别强。近20日上涨约4.1%，近5日约1.9%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.64，前期有明显缩量，而当前量比约1.06，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.0%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。,9.63,1.48,温和上涨,接近阶段平台高点，重点观察放量突破是否成立,9.56~9.63（承接/回踩）,9.97~10.01（突破确认）,9.43,9.81,9.94 / 10.08,10.23 / 10.40,若突破成立，最早T+1观察，通常约4个交易日评估一次,等待突破确认后，最早T+1观察，预计3~5个交易日,价格距离20日平台高点约3.2%，已经进入突破敏感区，因此保守方案要求价格站稳平台上方，而不是提前猜突破。5/20成交量比约0.64，说明前期有较明显的量能收缩。今日量比约1.06，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.034。,明显高开：不追高，优先等待回踩参考买入区并确认承接,9.51,9.61,9.6,9.27,9.94,9.17,0.216,0.042,0.076,-0.068,上方,53.06,中性,40.9,39.5,43.71,多头,7,1.06,0.64,4.11,2.01,2132.63,,
9,002038,双鹭药业,暂无同日行业数据,未分类,,,未取得市值,,,60/100｜筹码结构较好,82.7,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日未明显追涨,77.3,死叉修复｜强；强涨停基因；历史涨停后3日≥3%命中90%；低位震荡/轻微回落；当前量能温和放大,77.5,强涨停基因,250日涨停10次；近60日4次；距最近涨停20日；历史涨停后3日≥3%命中90%；历史涨停后3日≥5%命中90%,RSI 中性｜KDJ 多头｜MACD 中性,68.7,58.3,61.9,震荡偏强，精选个股,40.1,-0.36,-0.15,-20.73,83.0,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-20.6%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.33，前期有明显缩量，而当前量比约1.57，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有10次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,5.62,0.36,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,5.90~5.90（承接/回踩）,7.10~7.13（突破确认）,5.83,6.98,7.08 / 7.08,7.29 / 7.42,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.33，说明前期有较明显的量能收缩。今日量比约1.57，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,5.61,5.73,5.96,5.99,7.08,5.5,0.161,-0.124,-0.07,-0.109,下方,42.36,中性,16.22,14.5,19.64,多头,10,1.57,0.33,-20.62,2.36,11199.39,,
10,000718,苏宁环球,暂无同日行业数据,未分类,,,未取得市值,,,67/100｜筹码结构较好,88.1,近期量能收缩；处于平台下方可观察区；短均线开始抬头；死叉距连续两天改善；RSI回升,67.7,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中100%；偏强上涨｜谨防追高；前期缩量结构较好；当前量能温和放大,48.0,一般涨停基因,250日涨停5次；距最近涨停75日；历史涨停后3日≥3%命中100%；历史涨停后3日≥5%命中100%,RSI 偏强｜KDJ 多头｜MACD 趋强,68.3,60.1,61.9,震荡偏强，精选个股,61.1,2.89,4.35,7.38,85.5,强匹配,当前仍站在20日线之上，20日线相对60日线高约4.5%，但短线均线结构还不算特别强。近20日上涨约7.5%，近5日约4.1%，上涨速度相对温和，没有明显进入加速末端。近期5/20成交量比约0.81，量能处于收缩状态，但当前量比约1.49，启动力度还需要继续观察。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。,2.01,3.61,偏强上涨｜谨防追高,中期趋势仍在，但短线位置一般，更适合等待回踩确认,1.97~1.98（承接/回踩）,2.13~2.14（突破确认）,1.92,2.09,2.12 / 2.12,2.19 / 2.23,回踩企稳后最早T+1观察；按ATR与目标空间预计5~7个交易日,确认后最早T+1观察；按当前波动率预计3~6个交易日,当前结构属于“趋势回踩”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.81，说明前期有较明显的量能收缩。今日量比约1.49，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.006。,明显高开：不追高，优先等待回踩参考买入区并确认承接,1.95,1.98,1.97,1.88,2.12,1.84,0.054,0.015,0.021,-0.011,上方,58.51,偏强,40.86,33.57,55.44,多头,5,1.49,0.81,7.49,3.61,5878.14,,
