排名,代码,名称,极度推荐,极度推荐排名,极度推荐分,启动评分,推荐度,涨停基因分,MACD阶段,MACD距,MACD距变化1日%,MACD距变化2日%,绿柱连续缩短,修复质量,前期形态,60日涨幅%,60日高点回撤%,近20日位置%,最新价,今日涨跌%,今日状态,MA5状态,MA5,MA10,MA20,MA60,RSI14,RSI状态,K值,D值,J值,KDJ状态,量比,5/20量比,20日涨幅%,近10日最大涨幅%,成交额(万),近一年涨停次数,相对强度,相对大盘1日%,相对大盘5日%,相对大盘20日%,市场评分,市场状态,严格匹配度,收盘交易状态
1,000536,华映科技,,,81.9,70.1,72.9,69.9,修复中,0.0269,25.1,26.9,2,91.0,正常修复,12.14,-18.18,51.2,3.51,3.24,偏强上涨｜谨防追高,修复中｜站稳5日线,3.41,3.49,3.52,3.36,52.6,中性,29.42,24.37,39.52,多头,1.94,0.58,9.01,3.24,27589.28,11,59.6,2.52,2.54,8.9,61.9,震荡偏强，精选个股,90.2,结构偏弱，不建议因为低价或历史涨停次数单独介入
2,000718,苏宁环球,,,79.5,88.1,68.5,48.0,修复中,0.0055,46.7,46.9,2,91.0,正常修复,16.86,-5.19,70.6,2.01,3.61,偏强上涨｜谨防追高,修复中｜站稳5日线,1.95,1.98,1.97,1.88,58.51,偏强,40.86,33.57,55.44,多头,1.49,0.81,7.49,3.61,5878.14,5,61.1,2.89,4.35,7.38,61.9,震荡偏强，精选个股,85.5,中期趋势仍在，但短线位置一般，更适合等待回踩确认
3,002131,利欧股份,TOP5,5,85.5,84.1,68.4,71.8,早期修复,0.0247,27.4,36.5,3,100.0,前期大涨后深回撤,-5.46,-25.86,36.4,4.5,1.35,温和上涨,早期修复｜站稳5日线,4.44,4.54,4.61,4.61,44.43,中性,24.3,21.3,30.3,多头,1.24,0.52,-1.53,1.35,108074.01,11,51.1,0.63,1.1,-1.64,61.9,震荡偏强，精选个股,89.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
4,000566,海南海药,,,81.7,93.1,67.0,85.5,修复中,0.023,23.5,33.6,2,83.0,前期大涨后深回撤,11.62,-31.5,27.6,4.61,0.44,低位震荡/轻微回落,修复中｜站上5日线,4.6,4.72,4.83,5.23,39.59,中性,22.14,22.11,22.2,多头,1.18,0.58,-4.75,1.42,22636.4,20,46.2,-0.28,-1.29,-4.86,61.9,震荡偏强，精选个股,98.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
5,002038,双鹭药业,,,77.1,82.7,65.9,77.5,早期修复,0.0547,15.2,23.9,3,85.0,前期大涨后深回撤,11.05,-23.19,21.1,5.62,0.36,低位震荡/轻微回落,早期修复｜站上5日线,5.61,5.73,5.96,5.99,42.36,中性,16.22,14.5,19.64,多头,1.57,0.33,-20.62,2.36,11199.39,10,40.1,-0.36,-0.15,-20.73,61.9,震荡偏强，精选个股,83.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
6,002291,遥望科技,,,75.6,89.7,65.8,57.5,修复中,0.0345,9.5,15.8,2,75.0,正常修复,13.32,-11.52,40.6,5.53,0.18,低位震荡/轻微回落,修复中｜站稳5日线,5.47,5.59,5.53,5.23,51.17,中性,32.89,32.59,33.47,多头,1.03,0.59,6.96,2.06,13459.2,9,51.8,-0.54,-0.69,6.86,61.9,震荡偏强，精选个股,100.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
7,605268,王力安防,,,80.4,100.0,65.5,54.8,修复中,0.0338,25.1,27.1,2,86.0,正常修复,8.44,-5.22,58.1,9.63,1.48,温和上涨,修复中｜站稳5日线,9.51,9.61,9.6,9.27,53.06,中性,40.9,39.5,43.71,多头,1.06,0.64,4.11,2.01,2132.63,7,54.8,0.76,2.11,4.0,61.9,震荡偏强，精选个股,95.0,接近阶段平台高点，重点观察放量突破是否成立
8,002031,巨轮智能,,,82.1,75.1,65.3,64.1,早期修复,0.0144,49.3,58.2,3,90.0,前期大涨后深回撤,-3.49,-21.52,40.6,5.25,2.54,偏强上涨｜谨防追高,早期修复｜站稳5日线,5.11,5.21,5.22,5.29,49.34,中性,24.73,22.36,29.48,多头,1.94,0.56,2.14,2.54,47867.46,7,56.0,1.82,2.94,2.03,61.9,震荡偏强，精选个股,79.8,价格仍在20日线上方，但结构优势有限，等待进一步确认
9,000036,华联控股,,,80.3,87.1,64.9,60.8,早期修复,0.0019,81.6,87.1,3,90.0,正常修复,-12.95,-21.53,70.0,3.9,1.83,温和上涨,早期修复｜站稳5日线,3.81,3.87,3.95,4.09,45.56,中性,43.17,30.01,69.49,多头,1.21,0.72,-3.47,1.88,8409.63,11,51.5,1.11,1.77,-3.57,61.9,震荡偏强，精选个股,89.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
10,600604,市北高新,,,78.6,87.1,63.6,59.9,修复中,0.045,21.8,28.7,2,86.0,前期上涨后回撤,15.25,-13.83,49.1,4.61,2.22,温和上涨,修复中｜站稳5日线,4.51,4.62,4.74,4.47,48.93,中性,28.89,21.81,43.06,多头,1.25,0.37,2.67,2.22,6962.79,7,54.5,1.5,1.52,2.57,61.9,震荡偏强，精选个股,83.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
