排名,代码,名称,极度推荐,极度推荐排名,极度推荐分,启动评分,推荐度,涨停基因分,MACD阶段,MACD距,MACD距变化1日%,MACD距变化2日%,绿柱连续缩短,修复质量,前期形态,60日涨幅%,60日高点回撤%,近20日位置%,最新价,今日涨跌%,今日状态,MA5状态,MA5,MA10,MA20,MA60,RSI14,RSI状态,K值,D值,J值,KDJ状态,量比,5/20量比,20日涨幅%,近10日最大涨幅%,成交额(万),近一年涨停次数,相对强度,相对大盘1日%,相对大盘5日%,相对大盘20日%,市场评分,市场状态,严格匹配度,收盘交易状态
1,600611,大众交通,,,79.8,64.1,78.2,75.0,早期修复,0.0321,34.8,45.2,4,100.0,前期大涨后深回撤,25.61,-16.93,64.7,4.71,3.06,偏强上涨｜谨防追高,早期修复｜站稳5日线,4.55,4.58,4.7,4.37,52.84,中性,42.55,26.74,74.18,多头,2.58,0.5,2.39,3.06,44764.01,10,57.6,3.39,2.81,1.73,41.6,偏弱，只看逆势强势股,79.6,中期趋势仍在，但短线位置一般，更适合等待回踩确认
2,600162,香江控股,TOP5,2,87.1,71.1,77.5,87.7,早期修复,0.0716,21.6,30.1,3,96.0,前期大涨后深回撤,74.64,-17.12,40.3,4.89,3.38,偏强上涨｜谨防追高,早期修复｜站稳5日线,4.7,4.75,4.84,3.76,56.26,偏强,34.24,25.95,50.81,多头,1.49,0.56,13.19,4.9,62418.18,25,66.0,3.7,5.87,12.53,41.6,偏弱，只看逆势强势股,100.0,已经偏热，优先等回踩，不适合为了信号强行追价
3,600408,安泰集团,,,75.8,86.7,75.7,62.0,修复中,0.0198,15.1,21.2,2,78.0,正常修复,31.51,-7.94,39.0,3.13,0.97,温和上涨,修复中｜站稳5日线,3.08,3.13,3.11,2.81,56.03,偏强,31.79,32.91,29.56,空头,1.34,0.72,6.1,2.31,15166.63,21,53.6,1.29,-0.41,5.44,41.6,偏弱，只看逆势强势股,100.0,中期趋势仍在，但短线位置一般，更适合等待回踩确认
4,002421,达实智能,,,83.1,89.1,74.4,82.3,早期修复,0.0087,47.5,63.1,3,90.0,前期大涨后深回撤,-5.48,-15.46,62.5,3.28,1.23,温和上涨,早期修复｜站稳5日线,3.2,3.21,3.28,3.17,51.34,中性,47.5,33.2,76.08,多头,1.65,0.68,4.46,2.21,40793.4,16,55.3,1.56,1.76,3.79,41.6,偏弱，只看逆势强势股,100.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
5,605136,丽人丽妆,,,78.9,97.1,74.0,51.3,早期修复,0.0152,39.6,59.5,4,90.0,正常修复,21.19,-5.79,69.0,8.62,0.35,低位震荡/轻微回落,早期修复｜站稳5日线,8.49,8.47,8.49,7.99,57.19,偏强,60.38,46.97,87.18,多头,1.13,0.74,5.51,2.21,5374.68,7,55.7,0.67,2.73,4.84,41.6,偏弱，只看逆势强势股,100.0,中期趋势仍在，但短线位置一般，更适合等待回踩确认
6,600556,天下秀,,,75.0,68.1,73.1,52.1,修复中,0.0105,52.9,58.0,2,91.0,前期大涨后深回撤,9.06,-15.32,66.0,4.81,3.0,偏强上涨｜谨防追高,修复中｜站稳5日线,4.69,4.71,4.76,4.63,53.01,中性,45.01,36.16,62.71,多头,2.27,0.84,5.25,3.0,31294.51,10,57.6,3.32,1.53,4.59,41.6,偏弱，只看逆势强势股,85.8,中期趋势仍在，但短线位置一般，更适合等待回踩确认
7,002328,新朋股份,,,79.8,64.1,72.6,68.7,早期修复,0.096,27.5,38.7,3,100.0,前期大涨后深回撤,19.48,-17.34,52.3,8.77,3.18,偏强上涨｜谨防追高,早期修复｜站稳5日线,8.34,8.45,8.64,7.55,58.13,偏强,35.59,25.23,56.32,多头,2.44,0.75,17.4,3.79,91999.22,8,66.3,3.5,4.57,16.74,41.6,偏弱，只看逆势强势股,82.1,中期趋势仍在，但短线位置一般，更适合等待回踩确认
8,002279,久其软件,,,83.0,78.1,72.3,68.3,修复中,0.0208,37.5,42.8,2,91.0,前期上涨后回撤,22.55,-9.08,42.7,7.01,2.19,温和上涨,修复中｜站稳5日线,6.84,6.89,6.91,6.5,55.27,偏强,29.23,28.92,29.83,多头,1.41,0.82,10.22,4.56,38095.48,9,55.0,2.51,-2.32,9.56,41.6,偏弱，只看逆势强势股,100.0,中期趋势仍在，但短线位置一般，更适合等待回踩确认
9,600758,辽宁能源,,,78.4,86.7,71.9,69.2,修复中,0.018,11.6,20.3,2,83.0,前期上涨后回撤,19.05,-11.76,33.3,3.75,0.27,低位震荡/轻微回落,修复中｜站稳5日线,3.7,3.77,3.73,3.43,54.76,中性,30.11,31.71,26.89,空头,1.13,0.69,5.34,3.68,23380.06,11,51.7,0.59,-1.13,4.67,41.6,偏弱，只看逆势强势股,100.0,中期趋势仍在，但短线位置一般，更适合等待回踩确认
10,601929,吉视传媒,,,74.1,68.1,71.2,51.0,修复中,0.0053,59.3,67.8,2,80.0,正常修复,13.9,-6.62,67.6,2.54,3.25,偏强上涨｜谨防追高,修复中｜站稳5日线,2.45,2.45,2.48,2.36,56.05,偏强,47.81,36.9,69.63,多头,2.0,0.83,9.01,3.38,51153.5,6,63.1,3.57,5.05,8.35,41.6,偏弱，只看逆势强势股,82.7,已经偏热，优先等回踩，不适合为了信号强行追价
