代码,名称,推荐度,推荐排名,推荐日,推荐日收盘,09-22,09-23,动态累计涨幅%,期间最高%,期间最低%,状态
002291,遥望科技,100.0,1,2026-09-21,5.64,1.24,-3.85,-2.66,1.24,-2.66,已跟踪2个交易日
605136,丽人丽妆,100.0,2,2026-09-21,8.59,0.35,-2.2,-1.86,0.35,-1.86,已跟踪2个交易日
002421,达实智能,100.0,3,2026-09-21,3.24,1.23,-3.66,-2.47,1.23,-2.47,已跟踪2个交易日
600986,浙文互联,100.0,5,2026-09-21,7.19,2.78,-4.47,-1.81,2.78,-1.81,已跟踪2个交易日
002575,群兴玩具,100.0,7,2026-09-21,5.19,3.85,-5.01,-1.35,3.85,-1.35,已跟踪2个交易日
603278,大业股份,100.0,11,2026-09-21,9.16,-1.09,-1.66,-2.73,-1.09,-2.73,已跟踪2个交易日
002520,日发精机,99.7,6,2026-09-21,6.41,-0.47,-2.04,-2.5,-0.47,-2.5,已跟踪2个交易日
603912,佳力图,98.3,15,2026-09-21,8.8,0.11,3.63,3.75,3.75,0.11,已跟踪2个交易日
002474,榕基软件,98.0,8,2026-09-21,6.5,0.77,-2.6,-1.85,0.77,-1.85,已跟踪2个交易日
601789,宁波建工,97.8,19,2026-09-21,4.2,1.43,2.35,3.81,3.81,1.43,已跟踪2个交易日
002131,利欧股份,97.4,10,2026-09-21,4.51,3.33,-5.36,-2.22,3.33,-2.22,已跟踪2个交易日
605268,王力安防,96.8,12,2026-09-21,9.75,1.23,4.66,5.95,5.95,1.23,已跟踪2个交易日
002506,协鑫集成,93.2,14,2026-09-21,2.52,-1.19,-2.81,-3.97,-1.19,-3.97,已跟踪2个交易日
600429,三元股份,93.2,41,2026-09-21,4.63,-0.65,-0.22,-1.73,-1.51,-1.73,已跟踪2个交易日
600433,冠豪高新,91.6,4,2026-09-21,3.38,-0.3,-2.37,-2.66,-0.3,-2.66,已跟踪2个交易日
600173,卧龙新能,91.4,39,2026-09-21,6.01,-1.16,-1.35,-2.5,-1.16,-2.5,已跟踪2个交易日
002153,石基信息,90.9,17,2026-09-21,7.75,2.06,-3.16,-1.16,2.06,-1.16,已跟踪2个交易日
601933,永辉超市,88.6,28,2026-09-21,3.08,-0.65,-1.63,-2.27,-0.65,-2.27,已跟踪2个交易日
600126,杭钢股份,88.0,34,2026-09-21,6.24,1.12,-2.22,-1.12,1.12,-1.12,已跟踪2个交易日
002425,凯撒文化,87.7,58,2026-09-21,3.11,2.57,-4.39,-1.93,2.57,-1.93,已跟踪2个交易日
600724,宁波富达,87.5,38,2026-09-21,5.06,-0.79,0.6,-0.2,-0.2,-0.79,已跟踪2个交易日
600527,江南高纤,86.0,24,2026-09-21,2.25,-2.22,-0.45,-2.67,-2.22,-2.67,已跟踪2个交易日
002054,德美化工,86.0,49,2026-09-21,7.19,-0.7,0.98,0.28,0.28,-0.7,已跟踪2个交易日
000955,欣龙控股,86.0,56,2026-09-21,4.19,-1.67,-3.88,-5.49,-1.67,-5.49,已跟踪2个交易日
600651,飞乐音响,85.8,48,2026-09-21,5.23,0.19,0.76,0.96,0.96,0.19,已跟踪2个交易日
600477,杭萧钢构,85.5,9,2026-09-21,2.47,-1.21,-0.82,-2.02,-1.21,-2.02,已跟踪2个交易日
002455,百川股份,85.5,13,2026-09-21,7.15,-1.68,-1.85,-3.5,-1.68,-3.5,已跟踪2个交易日
002277,友阿股份,85.2,60,2026-09-21,5.55,-1.8,-1.65,-3.42,-1.8,-3.42,已跟踪2个交易日
600058,五矿发展,84.8,61,2026-09-21,9.1,-1.1,2.0,0.88,0.88,-1.1,已跟踪2个交易日
002627,三峡旅游,84.7,29,2026-09-21,6.87,-1.89,-0.59,-2.47,-1.89,-2.47,已跟踪2个交易日
603007,顺景科技,84.4,16,2026-09-21,4.72,-0.21,-2.55,-2.75,-0.21,-2.75,已跟踪2个交易日
002427,尤夫股份,84.3,31,2026-09-21,4.67,-0.21,-2.15,-2.36,-0.21,-2.36,已跟踪2个交易日
603327,福蓉科技,81.9,26,2026-09-21,8.47,0.35,-1.41,-1.06,0.35,-1.06,已跟踪2个交易日
000990,诚志股份,81.8,27,2026-09-21,6.68,-1.2,-2.42,-3.59,-1.2,-3.59,已跟踪2个交易日
605388,均瑶健康,81.6,57,2026-09-21,6.07,3.29,-2.07,1.15,3.29,1.15,已跟踪2个交易日
000936,华西股份,81.1,20,2026-09-21,5.66,-1.77,-0.36,-2.12,-1.77,-2.12,已跟踪2个交易日
002197,证通电子,80.9,46,2026-09-21,6.7,0.45,-3.12,-2.69,0.45,-2.69,已跟踪2个交易日
000608,阳光股份,80.5,52,2026-09-21,7.26,-0.83,-2.78,-3.58,-0.83,-3.58,已跟踪2个交易日
002052,同洲电子,80.2,21,2026-09-21,8.56,-1.05,-0.35,-1.4,-1.05,-1.4,已跟踪2个交易日
000546,金圆股份,79.8,47,2026-09-21,4.51,-1.33,-1.8,-3.1,-1.33,-3.1,已跟踪2个交易日
603682,锦和商管,79.1,64,2026-09-21,9.91,0.91,-2.4,-1.51,0.91,-1.51,已跟踪2个交易日
002721,金一文化,77.0,43,2026-09-21,2.75,0.0,-3.27,-3.27,0.0,-3.27,已跟踪2个交易日
000779,甘咨询,75.3,44,2026-09-21,9.0,1.33,-4.71,-3.44,1.33,-3.44,已跟踪2个交易日
603106,恒银科技,75.0,30,2026-09-21,7.61,1.18,-4.42,-3.29,1.18,-3.29,已跟踪2个交易日
600339,中油工程,74.6,67,2026-09-21,3.39,-1.47,-2.69,-4.13,-1.47,-4.13,已跟踪2个交易日
601212,白银有色,74.4,53,2026-09-21,6.17,-1.3,-0.82,-2.11,-1.3,-2.11,已跟踪2个交易日
600736,苏州高新,73.5,18,2026-09-21,6.77,-1.62,0.0,-1.62,-1.62,-1.62,已跟踪2个交易日
000917,电广传媒,73.0,23,2026-09-21,7.03,1.14,-2.53,-1.42,1.14,-1.42,已跟踪2个交易日
605055,迎丰股份,72.9,65,2026-09-21,9.01,0.0,-2.66,-2.66,0.0,-2.66,已跟踪2个交易日
002176,江特电机,71.6,50,2026-09-21,8.56,0.47,-2.33,-1.87,0.47,-1.87,已跟踪2个交易日
600191,华资实业,71.5,35,2026-09-21,9.91,-4.84,-2.23,-6.96,-4.84,-6.96,已跟踪2个交易日
000008,神州高铁,71.5,54,2026-09-21,2.44,-0.82,-1.65,-2.46,-0.82,-2.46,已跟踪2个交易日
000783,长江证券,71.4,51,2026-09-21,8.51,0.0,-0.59,-0.59,0.0,-0.59,已跟踪2个交易日
000802,北京文化,71.1,32,2026-09-21,4.05,0.74,-4.66,-3.95,0.74,-3.95,已跟踪2个交易日
