推荐排名,推荐度,代码,名称,推荐日,交易日,T+N,收盘,当日涨跌%,累计涨幅%,数据状态
1,79.6,600611,大众交通,2026-09-22,2026-09-23,T+1,4.5,-4.46,-4.46,正常
2,100.0,600162,香江控股,2026-09-22,2026-09-23,T+1,4.59,-6.13,-6.13,正常
3,100.0,600408,安泰集团,2026-09-22,2026-09-23,T+1,2.98,-4.79,-4.79,正常
4,100.0,002421,达实智能,2026-09-22,2026-09-23,T+1,3.16,-3.66,-3.66,正常
5,100.0,605136,丽人丽妆,2026-09-22,2026-09-23,T+1,8.43,-2.2,-2.2,正常
6,85.8,600556,天下秀,2026-09-22,2026-09-23,T+1,4.6,-4.37,-4.37,正常
7,82.1,002328,新朋股份,2026-09-22,2026-09-23,T+1,8.92,1.71,1.71,正常
8,100.0,002279,久其软件,2026-09-22,2026-09-23,T+1,6.66,-4.99,-4.99,正常
9,100.0,600758,辽宁能源,2026-09-22,2026-09-23,T+1,3.51,-6.4,-6.4,正常
10,82.7,601929,吉视传媒,2026-09-22,2026-09-23,T+1,2.4,-5.51,-5.51,正常
11,75.4,002575,群兴玩具,2026-09-22,2026-09-23,T+1,5.12,-5.01,-5.01,正常
12,81.4,002165,红宝丽,2026-09-22,2026-09-23,T+1,7.01,-5.01,-5.01,正常
13,93.0,603106,恒银科技,2026-09-22,2026-09-23,T+1,7.36,-4.42,-4.42,正常
14,92.5,002081,金螳螂,2026-09-22,2026-09-23,T+1,5.32,1.72,1.72,正常
15,88.0,000917,电广传媒,2026-09-22,2026-09-23,T+1,6.93,-2.53,-2.53,正常
16,81.0,002659,凯文教育,2026-09-22,2026-09-23,T+1,4.6,-2.13,-2.13,正常
17,100.0,603616,韩建河山,2026-09-22,2026-09-23,T+1,5.59,-0.36,-0.36,正常
18,97.6,002766,索菱股份,2026-09-22,2026-09-23,T+1,4.0,-2.68,-2.68,正常
19,89.7,000630,铜陵有色,2026-09-22,2026-09-23,T+1,6.12,-0.65,-0.65,正常
20,89.9,603327,福蓉科技,2026-09-22,2026-09-23,T+1,8.38,-1.41,-1.41,正常
21,100.0,601011,宝泰隆,2026-09-22,2026-09-23,T+1,2.88,-4.32,-4.32,正常
22,84.1,002366,融发核电,2026-09-22,2026-09-23,T+1,5.58,-3.46,-3.46,正常
23,92.4,002235,安妮股份,2026-09-22,2026-09-23,T+1,7.84,-2.97,-2.97,正常
24,95.3,002678,珠江钢琴,2026-09-22,2026-09-23,T+1,4.43,-1.34,-1.34,正常
25,85.6,600477,杭萧钢构,2026-09-22,2026-09-23,T+1,2.42,-0.82,-0.82,正常
26,77.5,002455,百川股份,2026-09-22,2026-09-23,T+1,6.9,-1.85,-1.85,正常
27,80.1,002177,御银股份,2026-09-22,2026-09-23,T+1,5.5,-4.35,-4.35,正常
28,71.6,603778,国晟科技,2026-09-22,2026-09-23,T+1,8.6,-8.51,-8.51,正常
29,83.5,603887,城地香江,2026-09-22,2026-09-23,T+1,8.8,-2.65,-2.65,正常
30,76.4,603007,顺景科技,2026-09-22,2026-09-23,T+1,4.59,-2.55,-2.55,正常
31,81.3,603559,中通国脉,2026-09-22,2026-09-23,T+1,9.22,-5.44,-5.44,正常
32,95.8,601616,广电电气,2026-09-22,2026-09-23,T+1,3.76,-2.59,-2.59,正常
33,83.5,000751,锌业股份,2026-09-22,2026-09-23,T+1,4.58,-1.93,-1.93,正常
34,87.7,002329,皇氏集团,2026-09-22,2026-09-23,T+1,3.63,-1.89,-1.89,正常
35,77.0,002721,金一文化,2026-09-22,2026-09-23,T+1,2.66,-3.27,-3.27,正常
36,81.8,600651,飞乐音响,2026-09-22,2026-09-23,T+1,5.28,0.76,0.76,正常
37,80.5,002176,江特电机,2026-09-22,2026-09-23,T+1,8.4,-2.33,-2.33,正常
38,72.7,002478,常宝股份,2026-09-22,2026-09-23,T+1,6.47,-0.15,-0.15,正常
39,86.5,002347,泰尔股份,2026-09-22,2026-09-23,T+1,5.76,-2.37,-2.37,正常
40,81.5,600844,金煤科技,2026-09-22,2026-09-23,T+1,3.3,-3.51,-3.51,正常
41,82.6,600497,驰宏锌锗,2026-09-22,2026-09-23,T+1,9.63,-1.63,-1.63,正常
42,83.5,000608,阳光股份,2026-09-22,2026-09-23,T+1,7.0,-2.78,-2.78,正常
43,60.6,605388,均瑶健康,2026-09-22,2026-09-23,T+1,6.14,-2.07,-2.07,正常
44,88.7,603878,武进不锈,2026-09-22,2026-09-23,T+1,4.86,-1.42,-1.42,正常
45,82.3,000783,长江证券,2026-09-22,2026-09-23,T+1,8.46,-0.59,-0.59,正常
